BUNNumber,SiteName
3502046,Eastern Creek M7
3503266,Enterprise Drive
3500080,Port Lincoln South
3500081,Port Parham
3500094,Lewiston West
3500132,Cowell
3500133,Arno Bay
3500135,Port Neil
3500161,Wild Horse Plains
3501380,Letts Beach
3500170,INglewood
3500289,Frenchville
3500319,Yandina
3500338,Daisy Hill
3500353,Harbourtown
3500383,Bromelton
3500399,Mt Morgan
3500931,Robinvale
3500421,Kunda Park
3500495,EBENEZER_QLD
3500496,GATEWAY MOTORWAY
3500501,BANKSIA CRESENT
3500504,BEENLEIGH CENTRAL
3502097,M2 NORTH CARLINGFORD
3500521,Horizon Shores
3500527,Carrara Sth
3500528,Cedar Grove
3500529,Yatala Industrial
3501207,Loch Sport
3400321,East Richmond
3500556,Peak Crossing
3500579,Beaudesert CBD
3500710,Bargara
3500657,Boyne Island Relocate
3500581,Loganholme West
3500709,Branyan
3500620,Bundy East
3502904,Woodpark East
3500695,Rosewood
3500705,Oak Valley
3500648,Burrum Heads
3500706,Alice River
3500651,Elliot Heads
3503170,Kalkie West
3500928,Albert Park Lake
3501092,Coode Island
3500643,Buxton
3251519,Newell Hwy 7
3500257,Benaraby
3200472,Bingera VF
3501173,Coleraine
3501125,Lilydale
3501268,Bright West
3000188,Forest Glen
3501046,Sale RAAF
3502424,Ashfield South
3501190,Woori Yallock
3200067,Beacon Hill VF
3501191,Yarra Junction
3200178,Jerrawangala VF
3251522,Newell Hwy 10
3500632,Underwood South
3000345,Mt Beauty
3501718,Yangebup East
3502616,Bundoora RMIT 2
3400005,Ashville Hill
3500649,EAST ILBILBIE
3400464,Moolyung
3251524,Balladoran
3501292,YARRAMAN STATION
3501326,Kensington South
3501338,Lyndhurst Station
3501344,HOPPERS CROSSING EAST-O
3400003,Mt Stanley
3500005,Goolwa
3500040,Murray Bridge East
3500066,Karoonda
3500069,Talinga
3500188,MALLALA
3500115,MYPOLONGA
3500237,Alexandra Headland
3500461,Kalkie
3500522,Landsborough CBD
3501350,Lilydale East
3500637,Westwood North
3500645,Turkey beach
3500720,Telina-Glen Eden
3501441,VIC Univ-Werribee CampusO
3501476,Williams Landing
3501484,Dandenong South Central
3501157,Wangaratta East
3501485,Hallam South
3500906,Ashburton
3501168,Edenhope
3501175,Pinaster Park
3501744,Alstonville South
3502207,Mendooran
3501182,Wilkin
3502233,Collie NSW
3502284,Cassilis
3502319,Clifton Grove
3501183,Wannon
3502320,Glenroi
3502346,Raglan
3501212,Dederang
3501920,Corlette
3501321,TOOLONDO
3502161,Bargo North
3502013,Bonegilla
3502043,Boat Harbour
3502364,Mittagong Town
3200529,Woodcone Hill VF
3502583,Sussex Inlet Central
3500084,Wallaroo North Beach
3501265,Horsham West
3500009,Port Broughton
3200471,South Gregory VF
3500022,Wallaroo
3200473,West Childers VF
3500425,Woodgate
3501218,Falls Creek Ski Patrol
3000045,Yankalilla
3400348,Exeter
3501518,Katanning
3501566,Corrigin
3502075,THE HOMESTEAD
3502132,Bungendore South
3501627,Cuballing
3501639,Westdale
3501653,Brookton
3502133,Salt Ash
3502252,LIMEKILNS
3502151,Mallabula
3502739,DALE RIVER
3502162,Anna Bay
3502163,Bobs Farm
3502806,DONGOLOCKING NORTH
3502524,Torquay West
3502607,DANDENONG RAIL
3502809,STRATHERNE
3502646,Beaconsfield West
3500207,Greenhill
3502810,WAMENUSKING
3000594,Parkes
3000226,Carmila
3200083,Guildford VF
3400087,White Hill  (Agile)
3500438,Callemondah
3000267,Carrum Downs
3400114,White Hill (ABB)
3000341,Bon Beach
3000361,Swan Hill
3000535,Forestville
3000559,Bathurst
3000561,Kuring-Gai
3000562,Cowan
3200066,Granville VF
3000551,Razor Back
3000298,Cranbourne
3000584,Mudgee
3000518,Concord
3200052,Dee Why VF
3000626,Luddenham
3000610,Granville
3200079,East Lindfield VF
3000715,Orchard Hills
3200088,Mt White VF
3200089,Old Sydney Town VF
3200092,Umina VF
3200095,MacMasters Beach VF
3200097,Kincumber VF
3200121,Roselands VF
3000650,Cromer
3000615,Mays Hill
3200073,Berowra VF
3300284,Glenmore Park
3200207,Cranbourne VF
3250244,Kurrajong Heights
3251492,Kangaroo Valley
3300336,Kurrajong Heights Hub
3400828,Cranbourne East Central
3400163,Kojonup South
3500381,Gladstone North
3500619,Clinton
3500622,Kalka
3500398,Kalapa
3500815,Fingal
3500574,Kin Kora
3200349,George Town VF
3501163,Piangil
3502818,KIPPA RING RAIL
3501219,Manangtang
3501400,Booroopki
3200567,Middle Range Hill VF
3500028,Balaklava
3501742,Belrose
3501862,Berowra
3200480,Mt Larcom VF
3502662,Donnybrook 2
3501984,Comberton
3500211,McLaren Flat
3501987,Bomaderry
3502037,Nowra Hill Central
3502038,Nowra South Hospital
3502078,POINT ROAD
3502137,Nowra South
3502160,Douglas Park
3502672,Alfredton Reserve
3502171,Mulgoa East
3502178,Asquith Station
3502189,Picton Road 2 - Wollongong
3502271,Bathurst V8
3502282,Running Stream
3502296,Rockley
3502339,Nowra West
3502457,Casey Stadium
3502558,Yarwun
3400532,Westmead UWS Campus
3000313,Armadale
3503166,Diddillibah
3400555,Mount Tassie 90m
3502862,WATTLE FLAT
3401216,Kilsyth South
3502648,Norman Gardens East
3500448,West Gladstone
3502859,ORCHARD HILLS NORTH
3502941,Oak Flats - Dunmore Railway
3503049,Bomaderry Plaza
3000599,Thredbo
3501876,Mitchell
3000162,Mt Kanigan
3501259,Alexandra East
3501223,Wodonga West
3501878,HAWKER
3000557,Katoomba
3000346,Eildon
3000322,Wangaratta
3000635,Dee Why
3503273,Beenleigh East
3000340,Springhurst
3000575,Taree
3000619,Kellyville
3000671,Red Hill (ACT)
3000657,Blayney
3000662,Glossodia
3000665,Deakin
3000674,Isaacs Ridge
3000685,Cattai Ridge Road
3000697,Cattai
3200007,Weston VF
3000710,Carnes Hill
3200078,Ingleburn VF
3000773,Greghamstown
3000774,Burnt Yards
3200117,Camden VF
3500224,Happy Valley South
3200011,Fadden VF
3200197,Westleigh VF
3502599,WUDINNA CENTRAL
3502987,Munno Para West
3200331,Mt Glenrowan VF
3502264,Frederickton
3200080,Ryde VF
3500186,FOUNTAIN
3400024,Learmonth
3300264,North Ryde
3200108,Lawson VF
3200191,Winston Hills VF
3200562,Woodside VF
3500156,Owen
3501327,Lake Mountain
3500391,Woodford West
3500717,D aguilar
3200508,Mt Benson VF
3502200,Kempsey North
3500992,Barnawartha Township
3501034,Taggerty
3501042,Mansfield Central
3501048,Waldara
3501138,Corryong
3501213,Tallangatta
3501267,Corryong Town
3501305,Baranduda Range
3500288,Moranbah Southwest
3500099,Moonta Bay North
3501376,Whitfield
3501398,Wangaratta Nth West
3501409,Goroke
3400111,Owen
3501445,Tangambalanga
3500102,Tailem Bend East
3501823,North Baulkham Hills
3501855,ELS Hall Park
3400228,Bouvard
3400120,Eudunda
3502014,Baranduda
3502147,Chapman
3502165,The Oaks
3502248,COLO HEIGHTS
3502318,Millthorpe
3502328,HillEnd
3502331,Thredbo CBD
3502333,Wodonga Biralee
3502347,Eglinton
3400834,Yarralumla ALT
3502352,Normanhurst West
3502539,FRANCESCO CRESENT
3501410,King Valley
3502603,ROCK FOREST
3503181,RHYNIE
3501992,Kenthurst North -O
3501031,Mt Baw Baw
3000042,Seppeltsfield Southcorp Winery
3501134,Mt Dom Dom
3501030,NOOJEE
3500087,Mount Gambier Airport
3000756,Port Augusta West
3500079,Port Hughes
